use_no, field_name, old_value, new_value, error_id
1379617, AMT_PRD_USED, 6.8, .1157, 117047
1379432, AMT_PRD_USED, 12, .1457, 117033
1379584, LBS_PRD_USED, .5335, .5335, 117044
1379584, AMT_PRD_USED, 28, 7.3449, 117044
1379586, LBS_PRD_USED, .2668, .2668, 117045
1379586, AMT_PRD_USED, 14, 3.6723, 117045
1380358, LBS_PRD_USED, 5.3705, 5.3705, 117129
1380358, AMT_PRD_USED, 64, 7.0533, 117129
1379282, ACRE_TREATED, .4, 2.25, 117024
1380286, LBS_PRD_USED, 5.0989, 5.0989, 117127
1380286, AMT_PRD_USED, 121, .6001, 117127
1380371, LBS_PRD_USED, .0035, .0035, 117130
1380371, AMT_PRD_USED, .6, .0563, 117130
1380378, LBS_PRD_USED, 17.0791, 17.0791, 117131
1380378, AMT_PRD_USED, 40, 2.3567, 117131
1379222, LBS_PRD_USED, .7591, .7591, 117017
1379222, AMT_PRD_USED, 5, .0893, 117017
1379463, LBS_PRD_USED, .0137, .0137, 117035
1379463, AMT_PRD_USED, 18, .2186, 117035
1379845, LBS_PRD_USED, 5.3705, 5.3705, 117067
1379845, AMT_PRD_USED, 64, 7.0533, 117067
1379325, ACRE_TREATED, .4, 2.25, 117027
1379752, LBS_PRD_USED, .8056, .8056, 117056
1379752, AMT_PRD_USED, 9.6, 1.058, 117056
1379755, LBS_PRD_USED, 1.3426, 1.3426, 117057
1379755, AMT_PRD_USED, 16, 1.7633, 117057
1379757, LBS_PRD_USED, .0091, .0091, 117058
1379757, AMT_PRD_USED, 12, .1457, 117058
1379787, LBS_PRD_USED, .7591, .7591, 117060
1379787, AMT_PRD_USED, 5, .0893, 117060
1379793, LBS_PRD_USED, .3735, .3735, 117061
1379793, AMT_PRD_USED, 19.6, 5.0017, 117061
1379226, LBS_PRD_USED, .7591, .7591, 117018
1379226, AMT_PRD_USED, 5, .0893, 117018
1379228, LBS_PRD_USED, .7591, .7591, 117019
1379228, AMT_PRD_USED, 5, .0893, 117019
1379232, LBS_PRD_USED, .7591, .7591, 117020
1379232, AMT_PRD_USED, 5, .0893, 117020
1379710, AMT_PRD_USED, 5, .0893, 117052
1379714, LBS_PRD_USED, .7591, .7591, 117053
1379714, AMT_PRD_USED, 5, .0893, 117053
1379742, LBS_PRD_USED, .023, .023, 117055
1379742, AMT_PRD_USED, 32, .3673, 117055
1380340, LBS_PRD_USED, 2.7001, 2.7001, 117128
1380340, AMT_PRD_USED, 150, .3216, 117128
1379249, LBS_PRD_USED, .0046, .0046, 117021
1379249, AMT_PRD_USED, 6, .0729, 117021
1387295, GROWER_ID, 04120407235, 04170407235, 119945
1387296, GROWER_ID, 04120407235, 04170407235, 119946
1387297, GROWER_ID, 04120407235, 04170407235, 119947
1387294, GROWER_ID, 04120407235, 04170407235, 119944
4211890, SITE_CODE, 999990, -1, 266170
1380670, UNIT_TREATED, P, ?, 117475
1380670, UNIT_PLANTED, P, ?, 117476
1380671, UNIT_TREATED, P, ?, 117477
1380671, UNIT_PLANTED, P, ?, 117478
1380672, UNIT_TREATED, P, ?, 117479
1380672, UNIT_PLANTED, P, ?, 117480
1380673, UNIT_TREATED, P, ?, 117481
1380673, UNIT_PLANTED, P, ?, 117482
1380674, UNIT_TREATED, P, ?, 117483
1380674, UNIT_PLANTED, P, ?, 117484
1380675, UNIT_TREATED, P, ?, 117485
1380675, UNIT_PLANTED, P, ?, 117486
1380676, UNIT_TREATED, P, ?, 117487
1380676, UNIT_PLANTED, P, ?, 117488
1380677, UNIT_TREATED, P, ?, 117489
1380677, UNIT_PLANTED, P, ?, 117490
1380678, ACRE_TREATED, 1000, 650.93, 117491
1380678, UNIT_PLANTED, P, ?, 117492
1380679, UNIT_PLANTED, P, ?, 117493
1380680, ACRE_TREATED, 1000, 650.93, 117494
1380680, UNIT_PLANTED, P, ?, 117495
4096893, LBS_PRD_USED, 40.0648, 40.0648, 248058
4096893, AMT_PRD_USED, 112.5, 4.1823, 248058
4096895, GROWER_ID, 04130402602, 04170402602, 248059
4096896, GROWER_ID, 04130402602, 04170402602, 248060
4096897, GROWER_ID, 04120407235, 04170407235, 248061
4096898, GROWER_ID, 04120407235, 04170407235, 248062
4096899, ACRE_PLANTED, 23, 25, 248063
4096900, ACRE_PLANTED, 23, 25, 248064
1380898, ACRE_PLANTED, 18, 18.04, 117576
1380902, ACRE_PLANTED, 18, 18.04, 117580
1380903, ACRE_PLANTED, 18, 18.04, 117581
