use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
1919359,62962,401,98,389.537848,397.4876,56,GA,28,A,28,A,1,06/05/2017,0800,17,M,13,N,09,W,10,"KV17H041","17171700041","",,G,4003,0,1701,1200,1,A,17M13N09W10,
1920406,62962,401,98,1391.206628,1419.5986,200,GA,25,A,25,A,1,01/16/2017,0100,17,M,14,N,09,W,35,"KV05D104","17161700104","",,G,4003,0,1701,1481,1,A,17M14N09W35,
1920407,62962,401,98,1502.50317,1533.1665,216,GA,27,A,27,A,1,01/16/2017,0100,17,M,14,N,09,W,35,"KV05E104","17161700104","",,G,4003,0,1701,1482,1,A,17M14N09W35,
1920413,62962,401,98,2671.116714,2725.6293,384,GA,48,A,48,A,1,01/17/2017,0100,17,M,14,N,09,W,34,"KV04B104","17161700104","",,G,4003,0,1701,1488,1,A,17M14N09W34,
1920414,62962,401,98,2782.413256,2839.1972,400,GA,50,A,50,A,1,01/17/2017,0100,17,M,14,N,09,W,35,"KV05A104","17161700104","",,G,4003,0,1701,1489,1,A,17M14N09W35,
1920417,46546,,,,8.9841,118.58,OZ,264,A,4.3,A,1,06/13/2017,1300,17,M,12,N,08,W,05,"RH36A868","17171700868","",,G,29143,0,1701,267,2,A,17M12N08W05,
1920422,57011,5820,48.7,1.9860347,4.0781,46.08,OZ,264,A,.8,A,1,06/13/2017,0800,17,M,12,N,08,W,05,"RH36A868","17171700868","",,G,29143,0,1701,272,3,A,17M12N08W05,
1919366,62962,401,98,459.09815,468.4675,66,GA,33,A,33,A,1,06/05/2017,0800,17,M,16,N,09,W,31,"UL71F041","17171700041","",,G,4003,0,1701,1207,1,A,17M16N09W31,
1919368,61050,401,98,194.494622,198.4639,28,GA,7,A,7,A,1,05/22/2017,1300,17,M,13,N,09,W,03,"KV17A107","17161700107","",,G,4003,0,1701,1616,3,A,17M13N09W03,
1919379,38996,2253,.27,.00462861,1.7143,.21,GA,9,A,9,A,1,06/06/2017,0700,17,M,14,N,09,W,34,"KV10I107","17161700107","",,G,4003,0,1701,1627,4,A,17M14N09W34,
1919383,63514,2225,.06,.00016002,.2667,.23,GA,10,A,10,A,1,06/27/2017,1300,17,M,14,N,09,W,34,"KV10F107","17161700107","",,G,4003,0,1701,1631,2,A,17M14N09W34,
