use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
1859335,28853,2135,.005,.0000375,.75,12,OZ,,,,,1,05/01/2017,,46,,,,,,,"","","BR 5157",,,10,0,4603,81,1,C,,
1859256,28853,2135,.005,.000028125,.5625,9,OZ,,,,,,04/01/2017,,46,,,,,,,"","","31221",,,10,0,4603,21,2,C,,
1859280,28853,2135,.005,.00001875,.375,6,OZ,,,,,,05/01/2017,,46,,,,,,,"","","31213",,,10,0,4603,53,2,C,,
1859228,28853,2135,.005,.000009375,.1875,3,OZ,,,,,,01/01/2017,,46,,,,,,,"","","31213",,,10,0,4603,1,2,C,,
1859243,28853,2135,.005,.00005625,1.125,18,OZ,,,,,,01/01/2017,,46,,,,,,,"","","31221",,,10,0,4603,8,1,C,,
3704570,28853,2135,.005,.000028125,.5625,9,OZ,,,,,1,08/01/2017,,46,,,,,,,"","","BR 5157",,,10,0,4601,85,2,C,,
3704511,44662,90486,.2,.0005156,.2578,4,OZ,,,,,,07/01/2017,,46,,,,,,,"","","PR3779",,,10,0,4601,7,5,C,,
3704511,44662,510,.5,.001289,.2578,4,OZ,,,,,,07/01/2017,,46,,,,,,,"","","PR3779",,,10,0,4601,7,5,C,,
3704511,44662,396,1,.002578,.2578,4,OZ,,,,,,07/01/2017,,46,,,,,,,"","","PR3779",,,10,0,4601,7,5,C,,
1859268,45189,90486,2,.001876,.0938,1.5,OZ,,,,,,05/01/2017,,46,,,,,,,"","","PR3779",,,10,0,4603,33,5,C,,
1859283,45189,510,1,.000625,.0625,1,OZ,,,,,,06/01/2017,,46,,,,,,,"","","PR3779",,,10,0,4603,56,6,C,,
1859276,46133,1855,50.2,3.5238894,7.0197,90,OZ,,,,,,06/01/2017,,46,,,,,,,"","","PR 6897",,,10,0,4603,49,1,C,,
1859303,28099,225,.005,.000303125,6.0625,97,OZ,,,,,14,04/01/2017,,46,,,,,,,"","","PR4095",,,10,0,4603,76,5,C,,
3704555,33671,4014,.0025,.000015,.6,9.6,OZ,,,,,,12/01/2017,,46,,,,,,,"","","PR0801",,,10,0,4601,70,2,C,,
1859339,34448,3010,4.75,.00651225,.1371,2,OZ,,,,,10,05/01/2017,,46,,,,,,,"","","PR4095",,,10,0,4603,85,2,C,,
1859238,31778,769,5,.4,8,8,LB,,,,,,04/01/2017,,46,,,,,,,"","","31213",,,10,0,4603,37,1,C,,
1859246,31778,769,5,.1,2,2,LB,,,,,,01/01/2017,,46,,,,,,,"","","31221",,,10,0,4603,11,2,C,,
1859232,41029,529,8,.004088,.0511,1,OZ,,,,,,05/01/2017,,46,,,,,,,"","","PR3779",,,10,0,4603,34,3,C,,
