use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
924883,18154,225,.2,.0002188,.1094,1.75,OZ,,,,,2,03/01/2017,,38,,,,,,,"","","PR4935",,,10,0,3802,97,8,C,,
924885,32919,2244,9,.009954,.1106,2,OZ,,,,,1,03/01/2017,,38,,,,,,,"","","PR4935",,,10,0,3802,99,11,C,,
1232302,62645,3985,.05,.00003125,.0625,1,OZ,,,,,1,02/01/2017,,38,,,,,,,"","","PR0848",,,10,0,3801,1092,4,C,,
1232386,64919,5331,.05,.0000584,.1168,53,GR,,,,,5,01/01/2017,,38,,,,,,,"","","PR0848",,,10,0,3801,694,1,C,,
1232390,43898,1800,98,1.53125,1.5625,25,OZ,,,,,1,01/01/2017,,38,,,,,,,"","","BR5257",,,10,0,3801,698,2,C,,
1232607,49052,90486,2,.0725,3.625,58,OZ,,,,,9,03/01/2017,,38,,,,,,,"","","PR0848",,,10,0,3801,1389,16,C,,
1232613,44880,1800,98,4.4198,4.51,72.16,OZ,,,,,101,03/01/2017,,38,,,,,,,"","","PR0848",,,10,0,3801,1395,21,C,,
1232623,41669,2289,.5,.0125,2.5,2.5,LB,,,,,1,03/01/2017,,38,,,,,,,"","","30453",,,30,0,3801,1405,4,C,,
925371,58027,2300,27.27,.00340875,.0125,.2,OZ,,,,,1,03/01/2017,,38,,,,,,,"","","PR7064",,,10,0,3801,606,4,C,,
925373,63768,396,1,.000651,.0651,1,OZ,,,,,1,03/01/2017,,38,,,,,,,"","","6459",,,10,0,3801,608,2,C,,
925378,43732,2223,6,.027558,.4593,7.26,OZ,,,,,16,03/01/2017,,38,,,,,,,"","","6459",,,10,0,3801,613,3,C,,
925379,42319,2223,.1,.000412,.412,8,OZ,,,,,1,03/01/2017,,38,,,,,,,"","","6459",,,10,0,3801,614,4,C,,
924456,38594,92254,.004,.000000376,.0094,.15,OZ,,,,,2,04/01/2017,,38,,,,,,,"","","PR2867",,,10,0,3802,201,5,C,,
924901,37675,2049,.005,.00029375,5.875,94,OZ,,,,,15,03/01/2017,,38,,,,,,,"","","PR0212",,,10,0,3802,115,1,C,,
924905,47961,229,2.9,.00725,.25,4,OZ,,,,,2,04/01/2017,,38,,,,,,,"","","40220",,,30,0,3802,127,1,C,,
924906,66819,5792,4,.034224,.8556,12.89,OZ,,,,,1,04/01/2017,,38,,,,,,,"","","PR1865",,,10,0,3802,128,3,C,,
925388,49849,3995,9.1,.3602872,3.9592,57.6,OZ,,,,,3,01/01/2017,,38,,,,,,,"","","PR3025",,,10,0,3801,14,2,C,,
925392,60889,510,.5,.0014235,.2847,5,OZ,,,,,1,02/01/2017,,38,,,,,,,"","","PR3159",,,10,0,3801,18,2,C,,
925400,49849,3995,9.1,.0087542,.0962,1.4,OZ,,,,,4,02/01/2017,,38,,,,,,,"","","PR3159",,,10,0,3801,26,12,C,,
925402,64960,2254,.05,,,.25,OZ,,,,,2,02/01/2017,,38,,,,,,,"","","6459",,,10,0,3801,28,7,C,,
925404,32919,2244,9,.014931,.1659,3,OZ,,,,,2,02/01/2017,,38,,,,,,,"","","6459",,,10,0,3801,30,5,C,,
925420,62964,5822,20,.3125,1.5625,25,OZ,,,,,1,01/01/2017,,38,,,,,,,"","","008LS",,,30,0,3801,46,2,C,,
924657,64918,5331,.6,.0013824,.2304,3.39,OZ,,,,,20,04/01/2017,,38,,,,,,,"","","BR5241",,,10,0,3802,403,7,C,,
924660,64175,3985,1.6,.007848,.4905,7.44,OZ,,,,,114,04/01/2017,,38,,,,,,,"","","BR5241",,,10,0,3802,406,14,C,,
924478,14697,696,50,.65625,1.3125,21,OZ,,,,,1,04/01/2017,,38,,,,,,,"","","PR4935",,,10,0,3802,223,10,C,,
924480,28099,225,.005,.002353125,47.0625,753,OZ,,,,,136,04/01/2017,,38,,,,,,,"","","PR4935",,,10,0,3802,225,8,C,,
924485,44880,1800,98,.3773,.385,6.16,OZ,,,,,13,04/01/2017,,38,,,,,,,"","","PR4935",,,10,0,3802,230,13,C,,
924489,57831,2409,2.7,.5185701,19.2063,307.3,OZ,,,,,135,04/01/2017,,38,,,,,,,"","","PR4935",,,50,0,3802,233,18,C,,
924661,64960,2254,.05,,,16.46,OZ,,,,,57,04/01/2017,,38,,,,,,,"","","BR5241",,,10,0,3802,407,16,C,,
924666,28895,396,1,.01353,1.353,21,OZ,,,,,7,04/01/2017,,38,,,,,,,"","","BR5241",,,10,0,3802,412,2,C,,
924681,42319,2223,.1,.0010816,1.0816,21,OZ,,,,,12,03/01/2017,,38,,,,,,,"","","PR162",,,10,0,3802,391,18,C,,
