use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
1936067,32612,2131,44.4,3.530244,7.951,.83,GA,12,A,12,A,1,06/27/2017,0800,58,M,13,N,04,E,03,"OLD3B","58175800961","",,G,28072,0,5801,4623,2,A,58M13N04E03,
1936070,56175,,,,35.8466,3.55,GA,87,A,71,A,1,06/30/2017,1400,58,M,17,N,04,E,35,"2","58175800305","",,G,28072,0,5801,4626,1,A,58M17N04E35,
1940673,57726,,,,67.8007,8.27,GA,147,A,147,A,1,06/24/2017,1000,58,M,14,N,05,E,05,"16","58175800425","",,G,28072,0,5801,2557,3,A,58M14N05E05,
1940683,58337,2629,95,1231.77,1296.6,1296.6,LB,101,A,43.22,A,1,06/13/2017,1600,58,M,13,N,04,E,11,"1A","58175103991","",,A,3009,0,5801,2122,2,A,58M13N04E11,
1936097,57726,,,,135.9292,16.58,GA,221,A,221,A,1,06/30/2017,1400,58,M,16,N,04,E,19,"42A","58175800305","",,G,28072,0,5801,4653,5,A,58M16N04E19,
1936099,37137,503,41.2,639.717344,1552.712,160,GA,128,A,128,A,1,06/22/2017,1400,58,M,14,N,04,E,36,"01","58175800040","",,G,28072,0,5801,4655,1,A,58M14N04E36,
1936101,37137,503,41.2,131.9417228,320.2469,33,GA,22,A,22,A,1,07/10/2017,1306,58,M,15,N,04,E,06,"G5","58175800732","",,G,28072,0,5801,4972,2,A,58M15N04E06,
1936103,48446,2008,36.8,3.2396512,8.8034,1.0156,GA,32.38,A,13,A,1,07/17/2017,1523,58,M,17,N,03,E,36,"7BPAULS","58175800196","",,G,5004,0,5801,5431,1,A,58M17N03E36,
1936106,48446,2008,36.8,9.9684208,27.0881,3.125,GA,65,A,40,A,1,07/17/2017,1523,58,M,17,N,03,E,36,"2B","58175800196","",,G,5004,0,5801,5434,1,A,58M17N03E36,
1936969,70000,3919,.64,1.53024,239.1,239.1,LB,30,A,30,A,1,05/22/2017,0800,58,M,14,N,04,E,33,"HOMEN1","58175800703","",,A,28072,0,5801,592,1,A,58M14N04E33,
