use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
1861545,57113,5946,25,.21875,.875,14,OZ,2,A,2,A,1,06/14/2017,1900,09,M,10,N,11,E,01,"GCOPear","09170900012","",,G,4003,0,901,190,1,A,09M10N11E01,
1861678,58497,5972,50.2,133.0988744,265.1372,26,GA,129,A,26,A,1,05/02/2017,0700,09,M,08,N,13,E,27,"M8132799","09172900012","",,G,30000,0,901,44,1,A,09M08N13E27,
1861682,58497,5972,50.2,99.8241558,198.8529,19.5,GA,129,A,26,A,1,05/05/2017,0700,09,M,08,N,13,E,27,"M8132799","09172900012","",,G,30000,0,901,48,1,A,09M08N13E27,
1861689,10775,401,98,70.695044,72.1378,10,GA,14,A,10,A,1,05/20/2017,0800,09,M,10,N,11,E,02,"NA2","09170900012","",,G,4001,0,901,55,3,A,09M10N11E02,
1861697,68580,2245,40,.3,.75,12,OZ,3,A,3,A,1,05/16/2017,0600,09,M,10,N,11,E,02,"SA6","09170900012","",,G,4001,0,901,63,2,A,09M10N11E02,
1861619,56901,,,,9.603,1.13,GA,12,A,12,A,1,07/05/2017,1700,09,M,09,N,12,E,29,"4A","09170902801","",,G,29143,0,901,287,2,A,09M09N12E29,
1861616,67040,560,80,36,45,45,LB,9,A,9,A,1,07/03/2017,1700,09,M,08,N,12,E,04,"3A","09170902801","",,G,29143,0,901,284,1,A,09M08N12E04,
1861635,46449,1855,41,70.119512,171.0232,17.5,GA,15.7,A,15.7,A,1,06/28/2017,1130,09,M,08,N,15,E,08,"M8150888","09172900012","",,G,30000,0,901,267,1,A,09M08N15E08,
1861636,54291,,,,93.7229,12.5,GA,17.3,A,17,A,1,06/29/2017,0600,09,M,08,N,15,E,08,"M8150889","09172900012","",,G,30000,0,901,268,2,A,09M08N15E08,
1861562,49957,5759,12.8,.192,1.5,24,OZ,2,A,2,A,1,06/15/2017,0600,09,M,10,N,11,E,02,"Peach1","09170900012","",,G,5004,0,901,205,2,A,09M10N11E02,
1861569,58497,5972,50.2,179.171581,356.9155,35,GA,240,A,35,A,1,06/15/2017,0600,09,M,08,N,13,E,17,"M08","09172900012","",,G,30000,0,901,227,1,A,09M08N13E17,
1861649,67383,,,,2.7222,.38,GA,12,A,12,A,1,05/02/2017,1300,09,M,08,N,09,E,02,"1A","09170901805","",,G,29143,0,901,17,3,A,09M08N09E02,
1861574,56901,,,,3.9942,.47,GA,5,A,5,A,1,06/01/2017,0500,09,M,10,N,11,E,04,"1A","09170902801","",,G,29143,0,901,232,3,A,09M10N11E04,
1861577,56901,,,,9.603,1.13,GA,12,A,12,A,1,06/01/2017,0500,09,M,10,N,12,E,04,"2A","09170902801","",,G,29143,0,901,235,3,A,09M10N12E04,
1861580,56901,,,,7.1385,.84,GA,9,A,9,A,1,06/02/2017,0500,09,M,08,N,12,E,04,"3A","09170902801","",,G,29143,0,901,238,3,A,09M08N12E04,
1861601,54291,,,,187.4458,25,GA,240,A,30,A,1,06/13/2017,0700,09,M,08,N,13,E,17,"M08","09172900012","",,G,30000,0,901,222,2,A,09M08N13E17,
1861603,54291,,,,262.4242,35,GA,240,A,30,A,1,06/14/2017,0600,09,M,08,N,13,E,17,"M08","09172900012","",,G,30000,0,901,224,2,A,09M08N13E17,
1861721,49957,5759,12.8,.256,2,32,OZ,4,A,4,A,1,06/01/2017,0900,09,M,10,N,11,E,01,"GCOGrape","09170900012","",,G,29143,0,901,116,1,A,09M10N11E01,
1861727,10775,401,98,7.069524,7.2138,1,GA,1,A,1,A,1,05/18/2017,0700,09,M,10,N,11,E,02,"NA3","09170900012","",,G,4001,0,901,84,4,A,09M10N11E02,
1861752,57113,5946,25,.078125,.3125,5,OZ,1,A,1,A,1,05/28/2017,0800,09,M,10,N,11,E,02,"Peach2","09170900012","",,G,5004,0,901,109,1,A,09M10N11E02,
1861755,268,,,,.7435,12,OZ,1,A,1,A,1,05/28/2017,0600,09,M,10,N,11,E,02,"Peach3","09170900012","",,G,5004,0,901,112,2,A,09M10N11E02,
1861768,56249,2245,40,3,7.5,7.5,LB,15,A,15,A,1,05/04/2017,0100,09,M,11,N,11,E,36,"3A","09170900133","",,G,4001,0,901,129,1,A,09M11N11E36,
