use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
1988382,28853,2135,.005,.03304125,660.825,10573.2,OZ,,,,,531,06/01/2017,,12,,,,,,,"","","3198",,,10,0,1203,51,7,C,,
1988474,28853,2135,.005,.033325,666.5,10664,OZ,,,,,532,07/01/2017,,12,,,,,,,"","","3198",,,10,0,1203,138,8,C,,
826535,28853,2135,.005,.00503125,100.625,1610,OZ,,,,,268,03/01/2017,,12,,,,,,,"","","12852",,,10,0,1203,270,3,C,,
826641,28853,2135,.005,.000353125,7.0625,113,OZ,,,,,7,03/01/2017,,12,,,,,,,"","","7122",,,10,0,1203,62,7,C,,
2630577,28853,2135,.005,.00391875,78.375,1254,OZ,,,,,321,07/01/2017,,12,,,,,,,"","","12852",,,10,0,1203,170,2,C,,
1988262,29871,1800,40,.57476,1.4369,1,PT,,,,,1,04/01/2017,,12,,,,,,,"","","3430",,,10,0,1203,186,4,C,,
1452345,29871,1800,40,.07184,.1796,2,OZ,,,,,1,05/01/2017,,12,,,,,,,"","","4410",,,10,0,1203,39,3,C,,
65371,29871,1800,40,36.78528,91.9632,8,GA,,,,,1,01/01/2017,,12,,,,,,,"","","5516",,,10,0,1203,14,4,C,,
65430,29871,1800,40,1.14956,2.8739,1,QT,,,,,1,01/01/2017,,12,,,,,,,"","","3430",,,10,0,1203,90,3,C,,
201132,29871,1800,40,220.71168,551.7792,48,GA,,,,,4,02/01/2017,,12,,,,,,,"","","5516",,,10,0,1203,16,4,C,,
826703,43794,5050,40.9,.0116156,.0284,.375,OZ,,,,,1,03/01/2017,,12,,,,,,,"","12171200001","",,,30,0,1203,125,1,C,,
1988292,41483,2300,7.9,1.052912,13.328,200,OZ,,,,,42,06/01/2017,,12,,,,,,,"","","12852",,,10,0,1203,227,6,C,,
826574,38594,2254,.05,.0009375,1.875,30,OZ,,,,,2,03/01/2017,,12,,,,,,,"","","12852",,,10,0,1203,274,2,C,,
1452675,46449,1855,41,32.05462,78.182,8,GA,240,A,33,A,1,05/25/2017,1630,12,H,04,N,04,E,23,"11-85","12172900011","",,G,30000,0,1201,49,2,A,12H04N04E23,
2630947,47369,510,1.4,.0016814,.1201,2,OZ,8,A,.07,A,1,06/21/2017,0930,12,H,06,N,01,E,20,"408-1","12171200408","",,G,11003,4,1202,126,6,B,12H06N01E20,
1452336,34374,486,48,.049632,.1034,1.6,OZ,,,,,2,05/01/2017,,12,,,,,,,"","","5516",,,10,0,1203,30,8,C,,
2630620,26340,597,1.47,.0294,2,2,LB,,,,,1,08/01/2017,,12,,,,,,,"","","98747",,,30,0,1203,214,3,C,,
1452490,44253,1855,41,.081631,.1991,3,OZ,640,A,1,A,1,05/30/2017,1000,12,H,07,N,02,E,21,"414","12171200002","",,G,30000,0,1202,5,5,B,12H07N02E21,
