use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
1590346,70000,3919,.64,1.728,270,270,LB,36,A,36,A,1,06/07/2017,0800,31,M,13,N,05,E,34,"C-25","31185100244","",,A,28072,0,3111,9,1,A,31M13N05E34,
1590352,51824,161,99,519.75,525,525,LB,35,A,35,A,1,06/09/2017,1500,31,M,12,N,05,E,21,"A-5","3118311303A","",,A,28072,0,3111,15,1,A,31M12N05E21,
1590359,70000,3919,.64,1.632,255,255,LB,255,A,34,A,1,06/09/2017,0700,31,M,11,N,05,E,08,"P30","3118311303A","",,A,28072,0,3111,22,1,A,31M11N05E08,
1590362,52162,5889,.24,2.664,1110,1110,LB,118,A,118,A,1,06/13/2017,0830,31,M,12,N,05,E,10,"D","3118510605A","",,A,28072,0,3111,25,1,A,31M12N05E10,
1590373,46546,,,,26.5719,2.74,GA,54,A,27,A,1,06/16/2017,1300,31,M,12,N,05,E,01,"2","3117311652A","",,G,3009,0,3111,36,3,A,31M12N05E01,
1590382,46546,,,,18.6197,1.92,GA,38,A,19,A,1,06/16/2017,1300,31,M,12,N,05,E,12,"5","3117311652A","",,G,3009,0,3111,45,3,A,31M12N05E12,
1590383,57011,5820,48.7,39.2790337,80.6551,7.12,GA,38,A,19,A,1,06/16/2017,1300,31,M,12,N,05,E,12,"5","3117311652A","",,G,3009,0,3111,46,1,A,31M12N05E12,
1590385,58337,2629,95,356.25,375,375,LB,55.66,A,7.5,A,1,06/16/2017,0800,31,M,13,N,05,E,11,"103","3117311230A","",,G,3009,0,3111,48,1,A,31M13N05E11,
1590206,47441,5749,80,6.936,8.67,8.67,LB,185,A,185,A,1,06/29/2017,0100,31,M,13,N,05,E,27,"3","3118511609A","",,G,28072,0,3101,80,2,A,31M13N05E27,
1590215,63064,503,81,700.245,864.5,864.5,LB,301,A,133,A,1,06/30/2017,1100,31,M,12,N,05,E,09,"A1","3118510605A","",,G,28072,0,3101,89,1,A,31M12N05E09,
1590225,32612,2131,44.4,.5529132,1.2453,.13,GA,31.4,A,5,A,1,06/30/2017,0730,31,M,12,N,05,E,33,"D","3118311098A","",,A,28072,0,3101,99,1,A,31M12N05E33,
1590231,51824,161,99,445.5,450,450,LB,30,A,30,A,1,06/23/2017,0830,31,M,12,N,05,E,21,"A-4","3118311303A","",,A,28072,0,3101,105,1,A,31M12N05E21,
