use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
2001132,7583,806,5.83,.07249605,1.2435,16,OZ,,,,,1,05/01/2017,,05,,,,,,,"","","7363",,,30,0,503,293,1,C,,
3626551,18159,225,.01,.0007,7,7,LB,,,,,3,03/01/2017,,05,,,,,,,"","","138474",,,30,0,503,469,4,C,,
3626293,21518,769,64,1984,3100,3100,LB,,,119288,S,1,12/01/2017,,05,,,,,,,"","05172402017","",,,61001,0,503,769,1,C,,X
2001110,28853,2135,.005,.000009375,.1875,3,OZ,,,,,1,05/01/2017,,05,,,,,,,"","","PR0716",,,10,0,503,255,1,C,,
2001456,28853,2135,.005,.000025,.5,8,OZ,,,,,1,06/01/2017,,05,,,,,,,"","","PR1440",,,10,0,503,67,1,C,,
2001432,28853,2135,.005,.000184375,3.6875,59,OZ,,,,,13,06/01/2017,,05,,,,,,,"","","PR4571",,,10,0,503,43,5,C,,
2000987,28853,2135,.005,.000015625,.3125,5,OZ,,,,,2,05/01/2017,,05,,,,,,,"","","PR1621",,,10,0,502,23,6,C,,
2001195,28853,2135,.005,.000065625,1.3125,21,OZ,,,,,4,07/01/2017,,05,,,,,,,"","","6567",,,10,0,503,474,2,C,,
766938,28853,2135,.005,.00025,5,80,OZ,,,,,,03/01/2017,,05,,,,,,,"","","47171",,,10,0,503,238,3,C,,
2667512,28853,2135,.005,.00010625,2.125,34,OZ,,,,,8,07/01/2017,,05,,,,,,,"","","PR4571",,,10,0,503,36,4,C,,
3828259,28853,2135,.005,.0000125,.25,4,OZ,,,,,1,12/01/2017,,05,,,,,,,"","","PR1440",,,10,0,503,33,2,C,,
3626392,28853,2135,.005,.00015625,3.125,50,OZ,,,,,,09/01/2017,,05,,,,,,,"","","47171",,,10,0,503,324,3,C,,
3626498,28853,2135,.005,.00044375,8.875,142,OZ,,,,,12,10/01/2017,,05,,,,,,,"","","PR3637",,,10,0,503,416,1,C,,
2667502,29871,1800,40,.12572,.3143,3.5,OZ,,,,,2,08/01/2017,,05,,,,,,,"","","PR2911",,,10,0,503,466,1,C,,
2001764,21455,560,80,2.72,3.4,3.4,LB,3.2,A,3.2,A,1,05/29/2017,0900,05,M,03,N,13,E,20,"01","05170500448","",,G,29143,0,504,36,3,B,05M03N13E20,
275284,31184,2170,61.6,1.4073752,2.2847,33.12,OZ,,,,,18,01/01/2017,,05,,,,,,,"","","36859",,,40,0,504,445,1,C,,
2000960,30369,560,98,29.4,30,30,LB,2,A,2,A,1,06/22/2017,0100,05,M,04,N,09,E,36,"A1","05160500491","",,G,29143,0,501,56,1,A,05M04N09E36,
3626040,11597,560,97,.200111,.2063,3.3,OZ,2.5,A,.5,A,1,04/29/2017,0800,05,M,04,N,13,E,09,"A1","05170500439","",,G,29143,0,502,132,1,B,05M04N13E09,
3625992,32001,1855,41,.624512,1.5232,20,OZ,33,A,1,A,1,09/07/2017,1030,05,M,04,N,14,E,33,"01","05160500162","",,G,28045,0,502,37,2,B,05M04N14E33,
3625993,32001,1855,41,1.873577,4.5697,60,OZ,33,A,5,A,1,09/08/2017,0930,05,M,04,N,14,E,33,"01","05160500162","",,G,28045,0,502,38,3,B,05M04N14E33,
2001521,32001,1855,41,9.272847,22.6167,2.32,GA,,,,,5,06/01/2017,,05,,,,,,,"","","30553",,,30,0,503,132,2,C,,
766826,32001,1855,41,27.578773,67.2653,6.9,GA,,,,,27,03/01/2017,,05,,,,,,,"","","30553",,,30,0,503,19,5,C,,
2667625,32001,1855,41,.999211,2.4371,32,OZ,,,,,10,08/01/2017,,05,,,,,,,"","","36909",,,30,0,503,122,1,C,,
2667302,38774,597,43,.239553,.5571,8,OZ,,,,,1,07/01/2017,,05,,,,,,,"","","109223",,,30,20,503,284,2,C,,
2001516,42757,510,.5,.0037485,.7497,12,OZ,,,,,2,06/01/2017,,05,,,,,,,"","","PR3638-2",,,10,0,503,127,4,C,,
766981,42757,510,.5,.0018745,.3749,6,OZ,,,,,1,04/01/2017,,05,,,,,,,"","","PR3638-2",,,10,0,503,79,2,C,,
2667543,42757,90486,.2,.0007498,.3749,6,OZ,,,,,1,07/01/2017,,05,,,,,,,"","","PR3638-2",,,10,0,503,28,5,C,,
2667543,42757,510,.5,.0018745,.3749,6,OZ,,,,,1,07/01/2017,,05,,,,,,,"","","PR3638-2",,,10,0,503,28,5,C,,
3626082,42757,396,1,.007497,.7497,12,OZ,,,,,1,10/01/2017,,05,,,,,,,"","","PR3638-2",,,10,0,503,96,8,C,,
1383259,46449,1855,41,22.438234,54.7274,5.6,GA,6.7,A,6.7,A,1,05/31/2017,1100,05,M,07,N,15,E,31,"M7153181","0517290011","",,G,30000,0,506,24,1,A,05M07N15E31,
1383289,46449,1855,41,44.876509,109.4549,11.2,GA,14.5,A,14.5,A,1,05/30/2017,1230,05,M,07,N,15,E,31,"M7153180","0517290011","",,G,30000,0,506,20,1,A,05M07N15E31,
2001730,46450,1855,41,.500077,1.2197,16,OZ,.2,A,.2,A,1,03/02/2017,1000,05,M,03,N,10,E,11,"A1","05170500441","",,G,29143,0,504,2,1,B,05M03N10E11,
1432564,46450,1855,41,.250059,.6099,8,OZ,.25,A,.25,A,1,05/08/2017,1000,05,M,04,N,10,E,27,"A1","05170500429","",,G,29143,0,510,10,1,B,05M04N10E27,
3626315,46469,396,1,.031316,3.1316,56,OZ,,,,,3,09/01/2017,,05,,,,,,,"","","BR4574",,,10,0,503,287,10,C,,
767017,23434,,,,15.2736,1.905,GA,,,,,24,04/01/2017,,05,,,,,,,"","","30062",,,30,0,503,310,1,C,,
767203,23434,,,,.2004,.025,GA,,,,,1,03/01/2017,,05,,,,,,,"","","PR1621",,,30,0,503,6,1,C,,
275143,23434,,,,.3658,5.84,OZ,,,,,2,02/01/2017,,05,,,,,,,"","","PR1306",,,30,0,504,534,2,C,,
2667267,23434,,,,1.7398,.217,GA,,,,,4,07/01/2017,,05,,,,,,,"","","30062",,,30,0,503,238,1,C,,
2667705,23434,,,,.238,3.8,OZ,,,,,4,07/01/2017,,05,,,,,,,"","","PR1306",,,30,0,503,202,1,C,,
2667720,23434,,,,.2004,.025,GA,,,,,1,07/01/2017,,05,,,,,,,"","","PR1621",,,10,0,503,217,2,C,,
