use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
4096466,28853,2135,.005,.00005,1,16,OZ,,,,,1,07/01/2017,,02,,,,,,,"","","PR 5559",,,10,0,202,68,2,C,,
4096494,28853,2135,.005,.0000125,.25,4,OZ,,,,,2,06/01/2017,,02,,,,,,,"","","PR 4571",,,10,0,202,80,1,C,,
4096633,28853,2135,.005,.000075,1.5,24,OZ,,,,,2,10/01/2017,,02,,,,,,,"","","115527",,,10,0,202,248,2,C,,
4096540,28853,2135,.005,.00005625,1.125,18,OZ,,,,,1,05/01/2017,,02,,,,,,,"","","BR 5157",,,10,0,202,154,1,C,,
4096668,32001,1855,41,.624512,1.5232,20,OZ,100,A,2,A,1,07/06/2017,0800,02,M,11,N,20,E,31,"1A","02170200013","",,G,28045,0,201,8,3,B,02M11N20E31,
767778,29757,,,,.0154,.26,OZ,,,,,1,04/01/2017,,02,,,,,,,"","","36859",,,40,0,202,324,6,C,,
4096403,11949,2135,.005,.00055,11,11,LB,,,,,11,03/01/2017,,02,,,,,,,"","","PR 4804",,,10,0,202,6,1,C,,
4096436,11949,2135,.005,.0001,2,2,LB,,,,,2,04/01/2017,,02,,,,,,,"","","PR 4804",,,10,0,202,1,3,C,,
4096529,11949,2135,.005,.00085,17,17,LB,,,,,17,12/01/2017,,02,,,,,,,"","","PR 4804",,,10,0,202,131,1,C,,
4096630,56628,,,,7.8598,134,OZ,,,,,,10/01/2017,,02,,,,,,,"","02170200005","",,,100,0,202,245,2,C,,
4096649,63536,3010,4.75,.0461035,.9706,14.25,OZ,,,,,19,11/01/2017,,02,,,,,,,"","","BR 1932",,,10,0,202,264,3,C,,
4096537,63536,3010,4.75,.0048545,.1022,1.5,OZ,,,,,2,05/01/2017,,02,,,,,,,"","","BR 1932",,,10,0,202,151,3,C,,
767755,45490,,,,.008,.14,OZ,,,,,1,01/01/2017,,02,,,,,,,"","","36859",,,40,0,202,300,2,C,,
4096438,49988,2300,7.9,.2622484,3.3196,50,OZ,,,,,1,08/01/2017,,02,,,,,,,"","","PR 1035",,,10,0,202,40,1,C,,
4096563,58635,5820,48.7,8.275104,16.992,1.5,GA,,,,,1,06/01/2017,,02,,,,,,,"","02170200014","",,,40,0,202,177,1,C,,
4096510,58039,396,2.87,.01791454,.6242,12,OZ,,,,,1,05/01/2017,,02,,,,,,,"","","BR 5244",,,10,0,202,96,1,C,,
4096664,55149,5928,40.6,.301252,.742,10,OZ,100,A,2,A,1,06/13/2017,0800,02,M,11,N,20,E,31,"1A","02170200013","",,G,28045,0,201,4,1,B,02M11N20E31,
4096662,55149,5928,40.6,.301252,.742,10,OZ,100,A,2,A,1,05/23/2017,0800,02,M,11,N,20,E,31,"1A","02170200013","",,G,28045,0,201,2,2,B,02M11N20E31,
