use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
2002080,58497,5972,50.2,46.0727066,91.7783,9,GA,648,A,17,A,1,07/15/2017,0900,45,M,37,N,02,W,25,"45011X79","45172900011","",,G,30000,0,4501,439,1,A,45M37N02W25,
2002081,54291,,,,44.987,6,GA,614,A,27,A,1,07/13/2017,1300,45,M,31,N,02,E,35,"45169X68","45174500169","",,G,30000,0,4501,440,3,A,45M31N02E35,
2002087,63007,806,47.2,34.153212,72.3585,7.5,GA,150,A,20,A,1,06/28/2017,1300,45,M,37,N,04,E,10,"45239X99","45174500239","",,G,40,0,4501,446,2,A,45M37N04E10,
2002088,54031,,,,17.7933,1.75,GA,35,A,35,A,1,06/29/2017,1300,45,M,37,N,05,E,02,"45059X01","45174500059","",,G,23001,0,4501,447,2,A,45M37N05E02,
2002098,50482,2303,11.8,10.375917,87.9315,10.15,GA,70.08,A,65,A,1,07/22/2017,0630,45,M,30,N,03,W,33,"45007X50","45174500007","",,G,3009,0,4501,457,1,A,45M30N03W33,
2002117,60357,2257,27.8,17.3740826,62.4967,7,GA,627,A,30,A,1,07/10/2017,0700,45,M,39,N,03,E,35,"4533X178","45184500033","",,G,30000,0,4501,476,2,A,45M39N03E35,
2002119,58497,5972,50.2,35.8343162,71.3831,7,GA,640,A,30,A,1,07/11/2017,0700,45,M,38,N,03,E,02,"4533X150","45184500033","",,G,30000,0,4501,478,1,A,45M38N03E02,
2002141,57113,5946,25,.1075,.43,.43,LB,23.24,A,1,A,1,07/25/2017,1100,45,M,30,N,03,W,28,"45007X57","45174500007","",,G,3009,0,4501,500,1,A,45M30N03W28,
2002221,56628,,,,60.0626,8,GA,275,A,25,A,1,06/22/2017,0830,45,M,30,N,03,E,10,"45169X34","45174500169","",,G,30000,0,4501,364,2,A,45M30N03E10,
2002246,57113,5946,25,.1625,.65,.65,LB,37,A,1.5,A,1,07/13/2017,1100,45,M,30,N,03,W,28,"45007X64","45174500007","",,G,3009,0,4501,389,1,A,45M30N03W28,
2002256,58497,5972,50.2,168.9331906,336.5203,33,GA,640,A,40,A,1,07/10/2017,0600,45,M,37,N,01,E,13,"4511X102","45172900011","",,G,30000,0,4501,399,1,A,45M37N01E13,
2002258,58497,5972,50.2,199.6483618,397.7059,39,GA,640,A,55.4,A,1,07/10/2017,1100,45,M,37,N,01,E,23,"4511X110","45172900011","",,G,30000,0,4501,401,1,A,45M37N01E23,
2002260,58497,5972,50.2,314.830053,627.1515,61.5,GA,640,A,100.3,A,1,07/11/2017,0600,45,M,37,N,01,E,26,"4511X111","45172900011","",,G,30000,0,4501,403,1,A,45M37N01E26,
2002262,58497,5972,50.2,153.5756552,305.9276,30,GA,393.35,A,35,A,1,07/12/2017,0600,45,M,34,N,01,W,10,"4511X606","45172900011","",,G,30000,0,4501,405,1,A,45M34N01W10,
2002057,58497,5972,50.2,81.9070228,163.1614,16,GA,288,A,21,A,1,06/15/2017,0800,45,M,30,N,03,E,28,"45169X43","45174500169","",,G,30000,0,4501,312,1,A,45M30N03E28,
2002106,63515,2131,16.22,2.7568323,16.9965,2,GA,640,A,50,A,1,07/04/2017,0700,45,M,32,N,01,E,15,"45033X50","45184500033","",,G,30000,0,4501,465,1,A,45M32N01E15,
2002109,54291,,,,112.4675,15,GA,484,A,20,A,1,07/05/2017,0700,45,M,30,N,01,E,18,"45357X02","45174500357","",,G,28045,0,4501,468,3,A,45M30N01E18,
2002112,54291,,,,3.7489,.5,GA,366,A,3,A,1,07/07/2017,0700,45,M,32,N,01,E,18,"45033X53","45184500033","",,G,30000,0,4501,471,2,A,45M32N01E18,
2002115,54291,,,,131.2121,17.5,GA,627,A,30,A,1,07/10/2017,0700,45,M,39,N,03,E,35,"4533X178","45184500033","",,G,30000,0,4501,474,3,A,45M39N03E35,
2002116,58497,5972,50.2,35.8343162,71.3831,7,GA,627,A,30,A,1,07/10/2017,0700,45,M,39,N,03,E,35,"4533X178","45184500033","",,G,30000,0,4501,475,1,A,45M39N03E35,
2002194,42994,806,46.8,91.223496,194.922,20,GA,80,A,80,A,1,06/21/2017,1300,45,M,37,N,04,E,15,"45436X06","45174500436","",,G,22000,0,4501,337,1,A,45M37N04E15,
2002198,58337,2629,95,53.4375,56.25,56.25,LB,9.34,A,.75,A,1,07/08/2017,0730,45,M,30,N,03,W,27,"45007X45","45174500007","",,G,3009,0,4501,341,1,A,45M30N03W27,
