use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
3313010,28853,2135,.005,.00035,7,7,LB,,,,,26,10/01/2017,,22,,,,,,,"","","BR 5258",,,10,0,2202,34,4,C,,
3064991,28853,2135,.005,.0000125,.25,4,OZ,,,,,1,09/01/2017,,22,,,,,,,"","","BR 1932",,,10,0,2203,152,1,C,,
3064875,28853,2135,.005,.00086875,17.375,278,OZ,,,,,2,08/01/2017,,22,,,,,,,"","","PR 3605",,,10,0,2203,1,1,C,,
3778876,28853,2135,.005,.00004375,.875,14,OZ,,,,,,12/01/2017,,22,,,,,,,"","","PR 6757",,,10,0,2202,16,3,C,,
3621664,28853,2135,.005,.00008125,1.625,26,OZ,,,,,4,12/01/2017,,22,,,,,,,"","","PR 5989",,,10,0,2202,108,1,C,,
2297519,28853,2135,.005,.00069375,13.875,222,OZ,,,,,2,06/01/2017,,22,,,,,,,"","","PR 3605",,,10,0,2203,139,1,C,,
2297476,28853,2135,.005,.0006,12,192,OZ,,,,,2,05/01/2017,,22,,,,,,,"","","PR 3605",,,10,0,2203,78,1,C,,
2297283,28853,2135,.005,.000015625,.3125,5,OZ,,,,,2,05/01/2017,,22,,,,,,,"","","BR 1932",,,10,0,2203,236,1,C,,
348419,80,225,.005,.000065625,1.3125,21,OZ,,,,,2,03/01/2017,,22,,,,,,,"","","PR 0213",,,10,0,2202,12,2,C,,
348441,41483,2300,7.9,.1684675,2.1325,1,QT,,,,,12,03/01/2017,,22,,,,,,,"","","BR 5258",,,10,0,2202,46,1,C,,
63901,41483,2300,7.9,.3158736,3.9984,60,OZ,,,,,120,01/01/2017,,22,,,,,,,"","","PR 5692",,,10,0,2204,11,1,C,,
3621606,41483,2300,7.9,1.6214829,20.5251,308,OZ,,,,,111,11/01/2017,,22,,,,,,,"","","PR 0213",,,10,0,2202,50,3,C,,
3064950,41483,2300,7.9,1.653075,20.925,314,OZ,,,,,110,09/01/2017,,22,,,,,,,"","","PR 0213",,,10,0,2203,111,5,C,,
2297254,41483,2300,7.9,.5053946,6.3974,3,QT,,,,,39,07/01/2017,,22,,,,,,,"","","BR 5258",,,10,0,2203,207,1,C,,
2297552,41483,2300,7.9,.0368535,.4665,7,OZ,,,,,2,06/01/2017,,22,,,,,,,"","","PR 4571",,,10,0,2203,135,3,C,,
2297565,41483,2300,7.9,.0684377,.8663,13,OZ,,,,,3,07/01/2017,,22,,,,,,,"","","PR 4571",,,10,0,2203,167,1,C,,
910518,46450,1855,41,6.001006,14.6366,6,QT,3,A,3,A,1,04/30/2017,0800,22,M,06,S,18,E,26,"GG-02","22172200068","",,G,28045,0,2201,24,1,B,22M06S18E26,
207249,46450,1855,41,1.400232,3.4152,44.8,OZ,6,A,1.5,A,1,02/28/2017,1300,22,M,04,S,17,E,33,"MBV -01","22172200320","",,G,29143,0,2201,11,4,B,22M04S17E33,
348444,44662,510,.5,.0070885,1.4177,22,OZ,,,,,5,03/01/2017,,22,,,,,,,"","","BR 5258",,,10,0,2202,49,3,C,,
3064863,34374,90486,12,.019392,.1616,2.5,OZ,,,,,1,08/01/2017,,22,,,,,,,"","","PR 1621",,,10,0,2203,25,3,C,,
3312975,28879,510,.5,.0086975,1.7395,27,OZ,,,,,8,10/01/2017,,22,,,,,,,"","","BR 5258",,,10,0,2202,37,2,C,,
910465,45186,1855,53.8,2.7431544,5.0988,2,QT,,,,,1,04/01/2017,,22,,,,,,,"","","39001",,,40,0,2202,88,5,C,,
3621572,46133,1855,50.2,10.023434,19.967,256,OZ,,,,,,08/01/2017,,22,,,,,,,"","","00000CALTRANS",,,40,0,2202,6,3,C,,
3621585,37675,2049,.005,.00001875,.375,6,OZ,,,,,2,11/01/2017,,22,,,,,,,"","","PR 879",,,10,0,2202,19,2,C,,
3064844,33640,3010,.05,.00000875,.0175,.28,OZ,,,,,2,08/01/2017,,22,,,,,,,"","","PR 667",,,10,0,2203,6,6,C,,
3065011,31720,539,12.5,38.10975,304.878,30,GA,,,1,U,30,09/01/2017,,22,,,,,,,"","22172402017","",,,61001,0,2203,173,1,C,,
