use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
3504371,51268,5802,51,.1275,.25,4,OZ,,,,,4,07/01/2017,,41,,,,,,,"","","31372",,,30,0,4108,406,7,C,,
3504373,66646,5822,40,.00824,.0206,.33,OZ,,,,,1,08/01/2017,,41,,,,,,,"","","PR1351",,,10,0,4108,1218,4,C,,
3504378,63768,3849,.05,.0006319,1.2638,19.4,OZ,,,,,9,08/01/2017,,41,,,,,,,"","","PR 5216",,,10,0,4108,1223,6,C,,
3677009,34448,3010,4.75,.08463075,1.7817,26,OZ,,,,,26,11/01/2017,,41,,,,,,,"","","OPR 12440",,,10,0,4114,16,3,C,,
3677011,50441,2008,36.8,1.342648,3.6485,54,OZ,,,,,26,11/01/2017,,41,,,,,,,"","","OPR 12440",,,10,0,4114,18,4,C,,
3725338,50607,79,5.4,.0367794,.6811,8,OZ,,,,,3,09/01/2017,,41,,,,,,,"","","PR4117",,,10,0,4103,10,2,C,,
3725340,64918,5331,.6,.000408,.068,1,OZ,,,,,1,08/01/2017,,41,,,,,,,"","","PR4117",,,10,0,4103,12,1,C,,
3806463,48154,5130,.62,.00156922,.2531,4,OZ,,,,,1,11/01/2017,,41,,,,,,,"","","133501",,,30,0,4104,1,2,C,,
3504386,63830,3866,.05,.13065,261.3,261.3,LB,,,,,79,08/01/2017,,41,,,,,,,"","","PR 5216",,,10,0,4108,1231,17,C,,
3504390,28895,90486,.2,.000902,.451,7,OZ,,,,,4,08/01/2017,,41,,,,,,,"","","PR 5216",,,10,0,4108,1235,1,C,,
3504390,28895,510,.5,.002255,.451,7,OZ,,,,,4,08/01/2017,,41,,,,,,,"","","PR 5216",,,10,0,4108,1235,1,C,,
3504391,39075,486,4.8,.0024672,.0514,1,OZ,,,,,1,08/01/2017,,41,,,,,,,"","","PR 5216",,,10,0,4108,1236,7,C,,
3504395,34448,3010,4.75,.15624175,3.2893,48,OZ,,,,,41,08/01/2017,,41,,,,,,,"","","PR 5216",,,10,0,4108,1240,16,C,,
3504398,63669,2300,6,.021654,.3609,5.2,OZ,,,,,5,08/01/2017,,41,,,,,,,"","","PR 5216",,,10,0,4108,1243,22,C,,
3504404,47723,510,.5,.0349415,6.9883,113.25,OZ,,,,,22,08/01/2017,,41,,,,,,,"","","FR 46679",,,10,0,4108,1836,16,C,,
3504410,67106,5822,.5,.000066,.0132,6,GR,,,,,4,08/01/2017,,41,,,,,,,"","","FR 46679",,,10,0,4108,1842,22,C,,
3504411,57441,769,5,.05,1,16,OZ,,,,,3,08/01/2017,,41,,,,,,,"","","FR 46679",,,10,0,4108,1843,23,C,,
3504419,30892,2170,61.6,.1274504,.2069,3,OZ,,,,,2,08/01/2017,,41,,,,,,,"","41174100132","",,,30,20,4108,2038,3,C,,
3504421,54546,1855,41,8.944232,21.8152,287,OZ,,,,,17,08/01/2017,,41,,,,,,,"","41174100132","",,,40,20,4108,2040,2,C,,
3504424,58635,5820,48.7,.086199,.177,2,OZ,,,,,4,08/01/2017,,41,,,,,,,"","","37870",,,30,0,4108,2043,1,C,,
3504432,63618,5338,.11,.043494,39.54,3.5,GA,,,,,1,08/01/2017,,41,,,,,,,"","41174100214","",,,30,0,4108,1425,8,C,,
3504435,49224,1622,10.49,2.75282776,26.2424,3.5,GA,,,,,2,08/01/2017,,41,,,,,,,"","41174100214","",,,30,0,4108,1428,4,C,,
3504436,49294,677,82.5,4.5375,5.5,5.5,LB,,,,,1,08/01/2017,,41,,,,,,,"","41174100214","",,,30,0,4108,1429,7,C,,
3504438,68390,401,88.8,378.3934944,426.1188,59.2,GA,,,,,4,08/01/2017,,41,,,,,,,"","41174100214","",,,30,0,4108,1431,5,C,,
3504443,68651,5943,.01,.000838,8.38,128,OZ,,,,,1,08/01/2017,,41,,,,,,,"","","PR585",,,10,0,4108,1436,18,C,,
3676978,50441,2008,36.8,1.3923648,3.7836,56,OZ,,,,,28,12/01/2017,,41,,,,,,,"","","OPR 12440",,,10,0,4114,22,3,C,,
3676979,49849,3995,9.1,.0437801,.4811,7,OZ,,,,,3,10/01/2017,,41,,,,,,,"","","PR2673",,,10,0,4114,23,1,C,,
3676991,41969,2328,3,.001041,.0347,.5,OZ,,,,,2,12/01/2017,,41,,,,,,,"","","33043",,,30,0,4114,35,1,C,,
3677002,17380,396,2.94,.00754698,.2567,5,OZ,,,,,1,11/01/2017,,41,,,,,,,"","","PR9288",,,10,0,4114,9,3,C,,
1626770,58221,5955,22.4,.4231808,1.8892,.21,GA,10,A,5.5,A,1,06/07/2017,0300,41,M,09,S,05,W,04,"SITE 3","41174100309","",,G,28059,0,4101,20,2,A,41M09S05W04,
