use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
4071729,62843,5026,4.25,3.58829625,84.4305,84.4305,LB,,,,,20,09/01/2017,,21,,,,,,,"","21172100138","",,,50,0,2103,2087,10,C,,
4071740,67106,5822,.5,.0007625,.1525,2,OZ,,,,,7,05/01/2017,,21,,,,,,,"","","PR5958",,,10,0,2103,2884,2,C,,
4071741,28456,2135,.005,.00215625,43.125,690,OZ,,,,,146,05/01/2017,,21,,,,,,,"","","PR5958",,,10,0,2103,2885,3,C,,
4071743,45189,510,1,.001094,.1094,1.75,OZ,,,,,6,05/01/2017,,21,,,,,,,"","","PR5958",,,10,0,2103,2887,5,C,,
4071744,55570,1682,.825,.0016236,.1968,3,OZ,,,,,1,05/01/2017,,21,,,,,,,"","","PR5958",,,10,0,2103,2888,6,C,,
4071744,55570,1709,1.65,.0032472,.1968,3,OZ,,,,,1,05/01/2017,,21,,,,,,,"","","PR5958",,,10,0,2103,2888,6,C,,
4071969,51054,,,,.4592,7.04,OZ,,,,,2,06/01/2017,,21,,,,,,,"","","39420",,,40,0,2103,364,1,C,,
4071970,59078,979,95,1.662025,1.7495,.25,GA,,,,,1,06/01/2017,,21,,,,,,,"","","PR1342",,,10,0,2103,365,44,C,,
4071972,49849,3995,9.1,2.5829713,28.3843,412.95,OZ,,,,,138,06/01/2017,,21,,,,,,,"","","PR1342",,,10,0,2103,367,47,C,,
4071980,49434,4019,10,.00141,.0141,6,ML,,,,,2,06/01/2017,,21,,,,,,,"","","PR1342",,,10,0,2103,375,6,C,,
4073372,54518,,,,13.7528,208,OZ,,,171,U,22,05/01/2017,,21,,,,,,,"","","37101",,,151,40,2103,3109,6,C,,
4073373,66186,2291,2,.64316,32.158,3.5,GA,,,.5,A,1,08/01/2017,,21,,,,,,,"","","30609",,,65503,0,2103,4503,3,C,,
4073375,48154,1622,28.57,1.44607055,5.0615,80,OZ,,,,,4,08/01/2017,,21,,,,,,,"","","30742",,,30,0,2103,4505,1,C,,
4073378,26877,229,35.3,.454311,1.287,16,OZ,,,,,3,08/01/2017,,21,,,,,,,"","","30742",,,30,0,2103,4508,4,C,,
4073380,56117,3849,.012,.000046788,.3899,6,OZ,,,,,2,08/01/2017,,21,,,,,,,"","","30742",,,30,0,2103,4510,6,C,,
4073382,36951,2300,.2,.004,2,2,LB,,,,,3,08/01/2017,,21,,,,,,,"","","PR7519",,,10,0,2103,4512,4,C,,
4073383,44905,3995,9.1,.3502772,3.8492,56,OZ,,,,,31,08/01/2017,,21,,,,,,,"","","PR7519",,,10,0,2103,4513,1,C,,
4072980,58744,3849,75,.4875,.65,10.4,OZ,,,,,2,05/01/2017,,21,,,,,,,"","","39336",,,30,0,2103,3045,1,C,,
4074431,28895,90486,.2,.0002578,.1289,2,OZ,,,,,1,12/01/2017,,21,,,,,,,"","","31242",,,10,0,2103,6079,10,C,,
4074431,28895,396,1,.001289,.1289,2,OZ,,,,,1,12/01/2017,,21,,,,,,,"","","31242",,,10,0,2103,6079,10,C,,
4074433,51409,5130,.62,.0466798,7.529,119,OZ,,,,,17,06/01/2017,,21,,,,,,,"","","31374",,,30,0,2103,4855,2,C,,
4075382,55424,5331,.6,.0000528,.0088,4,GR,,,,,1,04/01/2017,,21,,,,,,,"","","PR2487",,,10,0,2103,1825,1,C,,
4075383,48747,3938,21.45,.03618615,.1687,2.25,OZ,,,,,3,05/01/2017,,21,,,,,,,"","","PR2487",,,10,0,2103,1826,2,C,,
4072119,64919,5331,.05,.00002885,.0577,26.17,GR,,,,,2,10/01/2017,,21,,,,,,,"","","39032",,,10,0,2103,1365,4,C,,
4072120,67126,3995,.5,.000055,.011,5,GR,,,,,1,10/01/2017,,21,,,,,,,"","","39032",,,10,0,2103,1366,26,C,,
4073388,61852,2135,.005,.0024875,49.75,796,OZ,,,,,,08/01/2017,,21,,,,,,,"","","5237",,,10,0,2103,4518,6,C,,X
4073510,49849,3995,9.1,.4003181,4.3991,.5,GA,,,,,,05/01/2017,,21,,,,,,,"","","31242",,,10,0,2103,2836,24,C,,
4073519,59745,2232,.075,.000796875,1.0625,17,OZ,,,,,3,05/01/2017,,21,,,,,,,"","","0585",,,10,0,2103,2845,2,C,,
4075806,58267,2223,.1,.0012377,1.2377,19,OZ,,,,,,10/01/2017,,21,,,,,,,"","","0801",,,10,0,2103,5276,22,C,,
4075810,66542,5822,.25,.00315075,1.2603,20,OZ,,,,,,10/01/2017,,21,,,,,,,"","","0801",,,10,0,2103,5280,26,C,,
4075817,67100,1992,.25,.00014325,.0573,26,GR,,,,,,10/01/2017,,21,,,,,,,"","","0801",,,10,0,2103,5287,21,C,,
4075823,48747,3938,21.45,.0649506,.3028,119.42,ML,,,,,,10/01/2017,,21,,,,,,,"","","0801",,,10,0,2103,5293,4,C,,
4075825,54546,1855,41,2.243848,5.4728,72,OZ,,,,,1,10/01/2017,,21,,,,,,,"","","79877",,,30,0,2103,5295,2,C,,
4075829,29871,1800,40,137.9448,344.862,30,GA,,,,,1,10/01/2017,,21,,,,,,,"","","BR5257",,,10,0,2103,5299,1,C,,X
4073525,63904,401,10,4.34587,43.4587,6.0043,GA,,,,,31,06/01/2017,,21,,,,,,,"","21172100138","",,,50,0,2103,2152,16,C,,
4073581,60889,510,.5,.0626305,12.5261,220,OZ,,,,,11,11/01/2017,,21,,,,,,,"","","4745",,,10,0,2103,5505,10,C,,
4075888,49722,3995,.01,.00000551,.0551,25,GR,,,,,5,08/01/2017,,21,,,,,,,"","","4745",,,10,0,2103,4257,34,C,,
4075896,39075,510,3,.007713,.2571,5,OZ,,,,,1,08/01/2017,,21,,,,,,,"","","4745",,,10,0,2103,4265,42,C,,
4076232,60889,486,3.2,.0036448,.1139,2,OZ,,,,,1,06/01/2017,,21,,,,,,,"","","7214",,,10,0,2103,237,4,C,,
4074797,44905,3995,9.1,.3627897,3.9867,58,OZ,,,,,31,09/01/2017,,21,,,,,,,"","","PR7519",,,10,0,2103,4887,2,C,,
4074798,38374,510,1,.921298,92.1298,14,GA,,,,,2,09/01/2017,,21,,,,,,,"","","PR5637",,,10,0,2103,4888,16,C,,X
4071940,32001,1855,41,1.124138,2.7418,36,OZ,,,,,3,08/01/2017,,21,,,,,,,"","","34793",,,30,0,2103,4379,2,C,,
4072325,60446,2276,14.3,.0537108,.3756,5.1,OZ,,,,,7,06/01/2017,,21,,,,,,,"","","PR1342",,,30,0,2103,393,3,C,,
4072332,39279,2244,90.6,.1334538,.1473,2.5435,OZ,,,,,4,06/01/2017,,21,,,,,,,"","","PR1342",,,10,0,2103,400,20,C,,
4072335,49052,90486,2,.027938,1.3969,22.35,OZ,,,,,21,06/01/2017,,21,,,,,,,"","","PR1342",,,10,0,2103,403,30,C,,
4072336,27416,90486,.2,.0021906,1.0953,17,OZ,,,,,4,06/01/2017,,21,,,,,,,"","","PR1342",,,10,0,2103,404,31,C,,
4072338,66542,3985,.05,.00025205,.5041,8,OZ,,,,,1,06/01/2017,,21,,,,,,,"","","PR1342",,,10,0,2103,406,33,C,,
4073317,67121,2223,.1,.0010299,1.0299,20,OZ,,,,,,12/01/2017,,21,,,,,,,"","","0801",,,10,0,2103,6037,17,C,,
4073318,57441,769,5,3.740625,74.8125,1197,OZ,,,,,,12/01/2017,,21,,,,,,,"","","0801",,,10,0,2103,6038,18,C,,X
4073334,68586,677,54,29.962494,55.4861,5,GA,,,,,1,05/01/2017,,21,,,,,,,"","21172100011","",,,30,0,2103,3071,3,C,,
4073338,47961,229,2.9,.1169077,4.0313,64.5,OZ,,,,,2,05/01/2017,,21,,,,,,,"","","40915",,,30,0,2103,3075,2,C,,
4076235,63269,2135,.005,.000006565,.1313,2.1,OZ,,,,,1,06/01/2017,,21,,,,,,,"","","PR3747",,,10,0,2103,240,1,C,,
4076241,55348,618,99.3,111.216,112,112,LB,,,,,1,06/01/2017,,21,,,,,,,"","","PR4166",,,10,0,2103,246,1,C,,X
4076242,28898,2244,9,.004995,.0555,1,OZ,,,,,1,06/01/2017,,21,,,,,,,"","","PR1175",,,10,0,2103,247,2,C,,
4076244,36594,486,4,.037256,.9314,18,OZ,,,,,5,06/01/2017,,21,,,,,,,"","","PR1175",,,10,0,2103,249,5,C,,
4076249,64918,5331,.6,.003138,.523,237.25,GR,,,,,36,07/01/2017,,21,,,,,,,"","","BR4574",,,10,0,2103,4040,2,C,,
4076258,50043,2203,1,.00125,.125,2,OZ,,,,,1,07/01/2017,,21,,,,,,,"","","PR4695",,,10,0,2103,4049,3,C,,
4073048,45189,90486,2,.00225,.1125,1.8,OZ,,,,,11,07/01/2017,,21,,,,,,,"","","7646",,,10,0,2103,462,2,C,,
4073053,61270,3849,1.47,.03159912,2.1496,32,OZ,,,,,1,07/01/2017,,21,,,,,,,"","","36573",,,30,0,2103,466,1,C,,
4072338,66542,5822,.25,.00126025,.5041,8,OZ,,,,,1,06/01/2017,,21,,,,,,,"","","PR1342",,,10,0,2103,406,33,C,,
4073341,49862,,,,.529,8,OZ,,,,,35,05/01/2017,,21,,,,,,,"","","32415",,,30,20,2103,3078,2,C,,
4073342,37728,2254,1,.000398,.0398,20,ML,,,,,2,05/01/2017,,21,,,,,,,"","","32415",,,30,20,2103,3079,3,C,,
4073464,25052,2131,44.4,.0163836,.0369,.5,OZ,,,,,,06/01/2017,,21,,,,,,,"","","40293",,,40,0,2103,3521,1,C,,
4073466,58635,5820,48.7,.3016965,.6195,7,OZ,,,,,2,06/01/2017,,21,,,,,,,"","","35846",,,30,0,2103,3523,1,C,,
4073472,29757,,,,.0033,.056,OZ,,,110,S,2,06/01/2017,,21,,,,,,,"","","37101",,,151,38,2103,3529,31,C,,X
4073478,63585,5766,45.8,5.0438624,11.0128,125,OZ,,,4,U,2,06/01/2017,,21,,,,,,,"","","37101",,,151,38,2103,3535,2,C,,
4075515,59830,2232,.075,.00046875,.625,10,OZ,,,,,,06/01/2017,,21,,,,,,,"","","0801",,,10,0,2103,3327,4,C,,
4072856,46688,2223,.1,.0011388,1.1388,18,OZ,,,,,14,09/01/2017,,21,,,,,,,"","","PR1457",,,10,0,2103,1407,20,C,,
4072862,34240,90486,.8,.006772,.8465,16,OZ,,,,,18,09/01/2017,,21,,,,,,,"","","PR1457",,,10,0,2103,1413,26,C,,
4072865,62080,,,,5.5034,96,OZ,,,,,,03/01/2017,,21,,,,,,,"","","00000CALTRANS",,,40,0,2103,1416,3,C,,
4073528,8147,1784,7.9,.0248297,.3143,.3143,LB,,,,,14,05/01/2017,,21,,,,,,,"","21172100138","",,,50,0,2103,2155,2,C,,
4073539,67653,3938,.5,.0006115,.1223,2,OZ,,,,,1,12/01/2017,,21,,,,,,,"","","39032",,,10,0,2103,1771,27,C,,
4073549,58635,5820,48.7,4.568547,9.381,106,OZ,,,,,11,05/01/2017,,21,,,,,,,"","","31791",,,30,0,2103,2795,2,C,,
4073552,59986,3936,18.4,.1524624,.8286,12,OZ,,,,,4,05/01/2017,,21,,,,,,,"","","39756",,,30,0,2103,2798,3,C,,
4073553,18691,2195,22.3,.0487255,.2185,3,OZ,,,,,2,05/01/2017,,21,,,,,,,"","","39756",,,30,0,2103,2799,4,C,,
4073554,67524,6083,18.7,.0467313,.2499,3.5,OZ,,,,,2,05/01/2017,,21,,,,,,,"","","39756",,,30,0,2103,2800,5,C,,
4073559,44905,3995,9.1,.0460369,.5059,7.36,OZ,,,,,8,05/01/2017,,21,,,,,,,"","","1129",,,10,0,2103,2805,1,C,,
4073113,54279,2300,7.9,.085399,1.081,16,OZ,,,,,4,06/01/2017,,21,,,,,,,"","","39877",,,30,0,2103,3499,5,C,,
4073244,57162,5598,.01,.00009527,.9527,12,OZ,,,,,10,09/01/2017,,21,,,,,,,"","","PR5560",,,10,0,2103,4923,9,C,,
4073251,45189,90486,2,.0025,.125,2,OZ,,,,,1,10/01/2017,,21,,,,,,,"","","31242",,,10,0,2103,5164,10,C,,
4073263,68651,486,1,.000079,.0079,.12,OZ,,,,,1,10/01/2017,,21,,,,,,,"","","0585",,,10,0,2103,5176,7,C,,
4072871,58497,5972,50.2,15.3575856,30.5928,384,OZ,,,,,,08/01/2017,,21,,,,,,,"","","00000CALTRANS",,,40,0,2103,1422,1,C,,
4072872,45490,,,,4.1219,72,OZ,,,,,,08/01/2017,,21,,,,,,,"","","00000CALTRANS",,,40,0,2103,1423,2,C,,
4072475,64919,5331,.05,.00000305,.0061,2.75,GR,,,,,3,08/01/2017,,21,,,,,,,"","","PR1175",,,10,0,2103,783,5,C,,
4073662,28853,2135,.005,.00004375,.875,14,OZ,,,,,9,09/01/2017,,21,,,,,,,"","","PR6357",,,10,0,2103,4820,2,C,,
4073675,62836,979,55,23.20505,42.191,730,OZ,,,,,2,09/01/2017,,21,,,,,,,"","","30453",,,30,0,2103,4833,7,C,,
4073679,63618,5338,.11,.06213427,56.4857,5,GA,,,,,1,09/01/2017,,21,,,,,,,"","21172100025","",,,30,0,2103,4837,1,C,,
4073682,61693,3849,21.8,3.558741,16.3245,220,OZ,,,,,2,09/01/2017,,21,,,,,,,"","21172100025","",,,30,0,2103,4840,4,C,,
4073791,67108,5822,.25,.00125,.5,8,OZ,,,,,3,07/01/2017,,21,,,,,,,"","","PR1865",,,10,0,2103,541,4,C,,
4071697,60889,510,.5,.004555,.911,16,OZ,,,,,5,06/01/2017,,21,,,,,,,"","","5278",,,10,0,2103,3888,4,C,,
4071703,53227,2321,6.4,.0116992,.1828,2.75,OZ,,,,,4,12/01/2017,,21,,,,,,,"","","PR4335",,,10,0,2103,1524,2,C,,
