use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
4097670,14682,6103,27.15,9.98628585,36.7819,15.2,QT,17,A,15.2,A,1,05/19/2017,0800,08,H,18,N,01,W,26,"M-2","08160800011","",,G,152,31,801,830,119,B,08H18N01W26,
4097696,14682,6103,27.15,1.44538455,5.3237,2.2,QT,8,A,2.2,A,1,05/29/2017,0800,08,H,18,N,01,W,26,"M4","08160800011","",,G,152,31,801,856,145,B,08H18N01W26,
4097733,14682,6103,27.15,9.98628585,36.7819,15.2,QT,17,A,15.2,A,1,03/14/2017,0800,08,H,18,N,01,W,26,"M-2","08160800011","",,G,152,31,801,254,31,B,08H18N01W26,
4097739,14682,6103,27.15,3.9879549,14.6886,6.07,QT,16,A,6.07,A,1,03/14/2017,0800,08,H,18,N,01,W,26,"M-4","08160800011","",,G,152,31,801,260,37,B,08H18N01W26,
4098045,14682,6103,27.15,2.54257035,9.3649,3.87,QT,8,A,3.87,A,1,04/21/2017,0800,08,H,18,N,01,W,26,"M4","08160800011","",,G,152,31,801,393,113,B,08H18N01W26,
4097980,14682,6103,27.15,6.9969894,25.7716,10.65,QT,12,A,10.65,A,1,06/24/2017,0800,08,H,18,N,01,W,27,"B-6c","08160800011","",,G,152,31,801,985,17,B,08H18N01W27,
4097764,14682,6103,27.15,11.32000245,41.6943,17.23,QT,20,A,17.23,A,1,05/19/2017,0800,08,H,18,N,01,W,22,"S-1","08160800011","",,G,152,31,801,885,174,B,08H18N01W22,
4098540,14682,6103,27.15,3.9419628,14.5192,6,QT,8,A,6,A,1,05/09/2017,0800,08,H,18,N,01,W,28,"B-2","08160800011","",,G,152,31,801,716,5,B,08H18N01W28,
4097904,14682,6103,27.15,4.31644275,15.8985,6.57,QT,12,A,6.57,A,1,05/03/2017,0800,08,H,18,N,01,W,27,"S-7","08160800011","",,G,152,31,801,948,237,B,08H18N01W27,
4097905,14682,6103,27.15,4.31644275,15.8985,6.57,QT,12,A,6.57,A,1,05/09/2017,0800,08,H,18,N,01,W,27,"S-7","08160800011","",,G,152,31,801,949,238,B,08H18N01W27,
4097954,14682,6103,27.15,3.7448538,13.7932,5.7,QT,7,A,5.7,A,1,04/01/2017,0800,08,H,18,N,01,W,22,"H3","08160800011","",,G,152,31,801,337,57,B,08H18N01W22,
4098776,14682,6103,27.15,9.854907,36.298,15,QT,15,A,15,A,1,04/21/2017,1430,08,H,18,N,01,W,35,"17-1","08160800009","",,G,152,31,803,253,3,B,08H18N01W35,X
2928384,14682,6103,27.15,9.19790415,33.8781,14,QT,13.8,A,7,A,1,05/10/2017,0800,08,H,18,N,01,W,22,"20","08160800010","",,G,152,31,804,31,15,B,08H18N01W22,
2928071,14682,6103,27.15,11.576217,42.638,17.62,QT,9.7,A,8.81,A,1,06/06/2017,0900,08,H,18,N,01,W,26,"26","08160800010","",,G,152,31,803,194,8,B,08H18N01W26,
2928716,14682,6103,27.15,7.8839256,29.0384,12,QT,12,A,12,A,1,06/28/2017,1300,08,H,18,N,01,W,36,"17-6","08160800009","",,G,152,31,806,169,38,B,08H18N01W36,
2928729,14682,6103,27.15,5.9129442,21.7788,9,QT,12,A,9,A,1,06/07/2017,1400,08,H,18,N,01,W,35,"17-3","08160800009","",,G,152,31,806,146,15,B,08H18N01W35,
2928734,14682,6103,27.15,5.9129442,21.7788,9,QT,12,A,9,A,1,06/20/2017,1300,08,H,18,N,01,W,35,"17-3","08160800009","",,G,152,31,806,151,20,B,08H18N01W35,
2928776,14682,6103,27.15,9.854907,36.298,15,QT,15,A,15,A,1,06/26/2017,1000,08,H,18,N,01,W,35,"17-1","08160800009","",,G,152,31,806,139,8,B,08H18N01W35,
2928777,14682,6103,27.15,8.5409013,31.4582,13,QT,13,A,13,A,1,06/06/2017,1630,08,H,18,N,01,W,35,"17-2","08160800009","",,G,152,31,806,140,9,B,08H18N01W35,
2928779,14682,6103,27.15,8.5409013,31.4582,13,QT,13,A,13,A,1,06/19/2017,1100,08,H,18,N,01,W,35,"17-2","08160800009","",,G,152,31,806,142,11,B,08H18N01W35,
2928793,14682,6103,27.15,5.9129442,21.7788,9,QT,12,A,9,A,1,05/24/2017,1400,08,H,18,N,01,W,35,"17-3","08160800009","",,G,152,31,806,196,19,B,08H18N01W35,
2927980,14682,6103,27.15,4.59896565,16.9391,7,QT,7,A,7,A,1,07/14/2017,1300,08,H,18,N,01,W,35,"17-4","08170800009","",,G,152,31,802,650,3,B,08H18N01W35,
2928307,14682,6103,27.15,9.19790415,33.8781,14,QT,11.1,A,7,A,1,04/03/2017,1200,08,H,18,N,01,W,27,"15","08160800010","",,G,152,31,803,122,9,B,08H18N01W27,
2928121,14682,6103,27.15,12.8836524,47.4536,19.61,QT,11.1,A,9.81,A,1,06/05/2017,0800,08,H,18,N,01,W,27,"15","08160800010","",,G,152,31,803,244,5,B,08H18N01W27,
2928288,14682,6103,27.15,11.4579516,42.2024,17.44,QT,9.7,A,8.72,A,1,04/05/2017,1000,08,H,18,N,01,W,26,"26","08160800010","",,G,152,31,803,71,9,B,08H18N01W26,
2928250,14682,6103,27.15,7.8839256,29.0384,12,QT,12,A,12,A,1,08/03/2017,1015,08,H,18,N,01,W,36,"17-6","08170800009","",,G,152,31,803,27,5,B,08H18N01W36,
2928200,14682,6103,27.15,5.25594135,19.3589,8,QT,6,A,4,A,1,05/01/2017,1000,08,H,18,N,01,W,21,"34","08160800010","",,G,152,31,803,323,1,B,08H18N01W21,
767824,34159,4014,.0025,.000178595,7.1438,114.3,OZ,,,,,46,01/01/2017,,08,,,,,,,"","","BR3960",,,10,0,803,35,13,C,,
1219687,28853,2135,.005,.006738065,134.7613,2156.18,OZ,,,,,95,04/01/2017,,08,,,,,,,"","","PR3198",,,10,0,803,53,4,C,,
2929354,28853,2135,.005,.007478125,149.5625,2393,OZ,,,,,108,05/01/2017,,08,,,,,,,"","","9025",,,10,0,808,23,4,C,,
3552931,28853,2135,.005,.00705,141,2256,OZ,,,,,104,09/01/2017,,08,,,,,,,"","","PR3198",,,10,0,812,3,5,C,,
